Country Name,Country Like
Johnny Cash,"4,997 votes"
Hank Williams,"3,721 votes"
George Strait,"4,732 votes"
Merle Haggard,"3,498 votes"
Alan Jackson,"3,606 votes"
Waylon Jennings,"3,361 votes"
George Jones,"3,253 votes"
Willie Nelson,"3,728 votes"
Conway Twitty,"2,392 votes"
Randy Travis,"2,324 votes"
Dolly Parton,"3,086 votes"
Patsy Cline,"2,603 votes"
"Hank Williams, Jr.","2,733 votes"
Brooks & Dunn,"2,313 votes"
Reba McEntire,"2,129 votes"
Loretta Lynn,"2,252 votes"
Alabama,"2,786 votes"
Garth Brooks,"3,545 votes"
Charlie Daniels,"1,058 votes"
Toby Keith,"2,029 votes"
Kenny Rogers,"2,201 votes"
Chris Stapleton,"1,876 votes"
John Denver,"1,284 votes"
Dwight Yoakam,"1,894 votes"
Travis Tritt,"1,751 votes"
Carrie Underwood,"1,389 votes"
Kenny Chesney,"1,780 votes"
Tim McGraw,"1,745 votes"
The Charlie Daniels Band,"2,327 votes"
Brad Paisley,"1,509 votes"
Shania Twain,"2,039 votes"
Emmylou Harris,"2,090 votes"
Roy Orbison,491 votes
Tammy Wynette,617 votes
Lynyrd Skynyrd,"1,596 votes"
Buck Owens,606 votes
Keith Whitley,"1,386 votes"
Don Williams,"1,248 votes"
Vince Gill,"1,531 votes"
Glen Campbell,"1,617 votes"
Eric Church,"1,633 votes"
Kris Kristofferson,"1,087 votes"
The Oak Ridge Boys,"1,458 votes"
Zac Brown Band,"1,208 votes"
Nitty Gritty Dirt Band,"1,342 votes"
John Anderson,864 votes
Alison Krauss,847 votes
John Michael Montgomery,"1,383 votes"
Luke Combs,"1,203 votes"
David Allan Coe,573 votes
Martina McBride,"1,337 votes"
Blake Shelton,"1,359 votes"
Joe Diffie,"1,714 votes"
Johnny Paycheck,637 votes
Jerry Reed,889 votes
Roger Miller,"1,053 votes"
Crystal Gayle,868 votes
The Judds,449 votes
Trace Adkins,850 votes
Tanya Tucker,"1,241 votes"
Ernest Tubb,"1,152 votes"
Ronnie Milsap,966 votes
Jimmie Rodgers,"1,357 votes"
Gene Autry,364 votes
Jim Reeves,364 votes
Tracy Lawrence,957 votes
June Carter Cash,891 votes
Miranda Lambert,959 votes
Wynonna Judd,"1,188 votes"
Ray Price,244 votes
Faith Hill,828 votes
The Eagles,"1,053 votes"
Dierks Bentley,"1,194 votes"
Johnny Horton,789 votes
Mel Tillis,848 votes
Montgomery Gentry,716 votes
The Statler Brothers,689 votes
LeAnn Rimes,"1,065 votes"
Pam Tillis,475 votes
Marty Stuart,256 votes
Diamond Rio,530 votes
Jerry Lee Lewis,675 votes
Sammy Kershaw,718 votes
Chris LeDoux,493 votes
Bob Wills,694 votes
Lefty Frizzell,629 votes
Jason Aldean,884 votes
Tom T. Hall,542 votes
Eddie Rabbitt,618 votes
Darius Rucker,915 votes
Trisha Yearwood,"1,059 votes"
Keith Urban,747 votes
Roy Clark,982 votes
Mark Chesnutt,709 votes
Ray Charles,650 votes
Kitty Wells,417 votes
Bobby Bare,558 votes
Patty Loveless,832 votes
Rascal Flatts,"1,161 votes"
Ricky Skaggs,998 votes
Lorrie Morgan,298 votes
Lonestar,669 votes
The Bellamy Brothers,674 votes
Lester Flatt & Earl Scruggs,475 votes
Gary Allan,673 votes
Lady A,546 votes
Chet Atkins,"1,011 votes"
Hank Snow,727 votes
Ricky Van Shelton,363 votes
Charlie Rich,861 votes
Lee Ann Womack,641 votes
Roy Rogers,467 votes
Bill Monroe and His Bluegrass Boys,734 votes
Roy Acuff,864 votes
Steve Earle,485 votes
Eddy Arnold,779 votes
Kacey Musgraves,395 votes
The Marshall Tucker Band,504 votes
Porter Wagoner,242 votes
Billy Currington,695 votes
Barbara Mandrell,482 votes
Clay Walker,371 votes
Jon Pardi,609 votes